Sample_Name,Meat_Type,Campaign,Sampling_Time,Lactate_Dose,Packaging,Amplicon_16S,Amplicon_gyrB,Volatilome_Analysis,Sensorial_Profile,pH,Packaging_Gas_Analysis,Total cfu.g-1,LAB cfu.g-1,Chromametry
C09T1C3,Poultry,n°9,T1,Zero_dose,50%N2_50%CO2,X,X,X,,X,x,X,X,X
C09T2A1,Poultry,n°9,T2,Normal_dose,Air,X,X,X,,X,x,X,X,X
C09T2A2,Poultry,n°9,T2,Normal_dose,70%O2_30%CO2,X,X,X,,X,x,X,X,X
C09T2A3,Poultry,n°9,T2,Normal_dose,50%N2_50%CO2,X,X,X,,X,x,X,X,X
C09T2B1,Poultry,n°9,T2,Half_dose,Air,X,X,,,X,x,X,X,
C09T2B2,Poultry,n°9,T2,Half_dose,70%O2_30%CO2,X,X,,,X,x,X,X,
C09T2B3,Poultry,n°9,T2,Half_dose,50%N2_50%CO2,X,X,,,X,x,X,X,
C09T2C1,Poultry,n°9,T2,Zero_dose,Air,X,X,X,,X,x,X,X,X
C09T2C2,Poultry,n°9,T2,Zero_dose,70%O2_30%CO2,X,X,X,,X,x,X,X,X
C09T2C3,Poultry,n°9,T2,Zero_dose,50%N2_50%CO2,X,X,X,,X,x,X,X,X
C09T3A1,Poultry,n°9,T3,Normal_dose,Air,X,X,X,,X,x,X,X,X
C09T3A2,Poultry,n°9,T3,Normal_dose,70%O2_30%CO2,X,X,X,,X,x,X,X,X
C09T3A3,Poultry,n°9,T3,Normal_dose,50%N2_50%CO2,X,X,X,,X,x,X,X,X
C09T3B1,Poultry,n°9,T3,Half_dose,Air,X,X,,,X,x,X,X,
C09T3B2,Poultry,n°9,T3,Half_dose,70%O2_30%CO2,X,X,,,X,x,X,X,
C09T3B3,Poultry,n°9,T3,Half_dose,50%N2_50%CO2,X,X,,,X,x,X,X,
C09T3C1,Poultry,n°9,T3,Zero_dose,Air,X,X,X,,X,x,X,X,X
C09T3C2,Poultry,n°9,T3,Zero_dose,70%O2_30%CO2,X,X,X,,X,x,X,X,X
C09T3C3,Poultry,n°9,T3,Zero_dose,50%N2_50%CO2,X,X,X,,X,x,X,X,X
C10TB,Poultry,n°10,Gut,None,None,,,,,,,X,X,
C10TD,Poultry,n°10,Primal_cut,None,None,,,,,,,X,X,
C10TE,Poultry,n°10,Spices,None,None,,,,,,,,,
C10TG,Poultry,n°10,Fat,None,None,,,,,,,X,X,
C10T0A,Poultry,n°10,T0,Normal_dose,None,X,X,X,X,X,x,X,X,X
C10T0B,Poultry,n°10,T0,Half_dose,None,,X,,,X,x,X,X,
C10T0C,Poultry,n°10,T0,Zero_dose,None,X,X,X,,X,x,X,X,
C10T1A1,Poultry,n°10,T1,Normal_dose,Air,X,X,X,X,X,x,X,X,X
C10T1A2,Poultry,n°10,T1,Normal_dose,70%O2_30%CO2,X,X,X,X,X,x,X,X,X
C10T1A3,Poultry,n°10,T1,Normal_dose,50%N2_50%CO2,X,X,X,X,X,x,X,X,X
C10T1B1,Poultry,n°10,T1,Half_dose,Air,X,X,,,X,x,X,X,
C10T1B2,Poultry,n°10,T1,Half_dose,70%O2_30%CO2,X,X,,,X,x,X,X,
C10T1B3,Poultry,n°10,T1,Half_dose,50%N2_50%CO2,X,X,,,X,x,X,X,
C10T1C1,Poultry,n°10,T1,Zero_dose,Air,X,X,X,X,X,x,X,X,X
C10T1C2,Poultry,n°10,T1,Zero_dose,70%O2_30%CO2,X,X,X,X,X,x,X,X,X
C10T1C3,Poultry,n°10,T1,Zero_dose,50%N2_50%CO2,X,X,X,X,X,x,X,X,X
C10T2A1,Poultry,n°10,T2,Normal_dose,Air,X,X,X,X,X,x,X,X,X
C10T2A2,Poultry,n°10,T2,Normal_dose,70%O2_30%CO2,X,X,X,X,X,x,X,X,X
C10T2A3,Poultry,n°10,T2,Normal_dose,50%N2_50%CO2,X,X,X,X,X,x,X,X,X
C10T2B1,Poultry,n°10,T2,Half_dose,Air,X,X,,,X,x,X,X,
C10T2B2,Poultry,n°10,T2,Half_dose,70%O2_30%CO2,X,X,,,X,x,X,X,
C10T2B3,Poultry,n°10,T2,Half_dose,50%N2_50%CO2,X,X,,,X,x,X,X,
C10T2C1,Poultry,n°10,T2,Zero_dose,Air,X,X,X,X,X,x,X,X,X
C10T2C2,Poultry,n°10,T2,Zero_dose,70%O2_30%CO2,X,X,X,X,X,x,X,X,X
C10T2C3,Poultry,n°10,T2,Zero_dose,50%N2_50%CO2,X,X,X,X,X,x,X,X,X
C10T3A1,Poultry,n°10,T3,Normal_dose,Air,X,X,X,,X,x,X,X,X
C10T3A2,Poultry,n°10,T3,Normal_dose,70%O2_30%CO2,X,X,X,,X,x,X,X,X
C10T3A3,Poultry,n°10,T3,Normal_dose,50%N2_50%CO2,X,X,X,,X,x,X,X,X
C10T3B1,Poultry,n°10,T3,Half_dose,Air,X,X,,,X,x,X,X,
C10T3B2,Poultry,n°10,T3,Half_dose,70%O2_30%CO2,X,X,,,X,x,X,X,
C10T3B3,Poultry,n°10,T3,Half_dose,50%N2_50%CO2,X,X,,,X,x,X,X,
C10T3C1,Poultry,n°10,T3,Zero_dose,Air,X,X,X,,X,x,X,X,X
C10T3C2,Poultry,n°10,T3,Zero_dose,70%O2_30%CO2,X,X,X,,X,x,X,X,X
C10T3C3,Poultry,n°10,T3,Zero_dose,50%N2_50%CO2,X,X,X,,X,x,X,X,X
P01TB,Pork,n°1,Gut,None,None,X,X,,,X,,X,X,
P01TD,Pork,n°1,Primal_cut,None,None,X,X,,,X,,X,X,
P01TE,Pork,n°1,Spices,None,None,X,X,,,X,,X,X,
P01TG,Pork,n°1,Fat,None,None,X,,,,X,,X,X,
P01T0A,Pork,n°1,T0,Normal_dose,None,,,X,X,X,,X,X,X
P01T0B,Pork,n°1,T0,Half_dose,None,,,,,X,,X,X,
P01T0C,Pork,n°1,T0,Zero_dose,None,,,X,,X,,X,X,
P01T1A1,Pork,n°1,T1,Normal_dose,Air,,,X,X,X,,X,X,X
P01T1A2,Pork,n°1,T1,Normal_dose,70%O2_30%CO2,,X,X,X,X,x,X,X,X
P01T1A3,Pork,n°1,T1,Normal_dose,50%N2_50%CO2,,X,X,X,X,x,X,X,X
P01T1B1,Pork,n°1,T1,Half_dose,Air,X,X,,,X,,X,X,
P01T1B2,Pork,n°1,T1,Half_dose,70%O2_30%CO2,,X,,,X,x,X,X,
P01T1B3,Pork,n°1,T1,Half_dose,50%N2_50%CO2,,X,,,X,x,X,X,
P01T1C1,Pork,n°1,T1,Zero_dose,Air,,X,X,,X,,X,X,X
P01T1C2,Pork,n°1,T1,Zero_dose,70%O2_30%CO2,,X,X,,X,x,X,X,X
P01T1C3,Pork,n°1,T1,Zero_dose,50%N2_50%CO2,,X,X,,X,x,X,X,X
P01T2A1,Pork,n°1,T2,Normal_dose,Air,X,X,X,X,X,,X,X,X
P01T2A2,Pork,n°1,T2,Normal_dose,70%O2_30%CO2,X,X,X,X,X,x,X,X,X
P01T2A3,Pork,n°1,T2,Normal_dose,50%N2_50%CO2,X,X,X,X,X,x,X,X,X
P01T2B1,Pork,n°1,T2,Half_dose,Air,X,X,,,X,,X,X,
P01T2B2,Pork,n°1,T2,Half_dose,70%O2_30%CO2,X,X,,,X,x,X,X,
P01T2B3,Pork,n°1,T2,Half_dose,50%N2_50%CO2,X,X,,,X,x,X,X,
P01T2C1,Pork,n°1,T2,Zero_dose,Air,,X,X,,X,,X,X,X
P01T2C2,Pork,n°1,T2,Zero_dose,70%O2_30%CO2,X,X,X,,X,x,X,X,X
P01T2C3,Pork,n°1,T2,Zero_dose,50%N2_50%CO2,X,X,X,,X,x,X,X,X
P01T3A1,Pork,n°1,T3,Normal_dose,Air,X,X,X,X,X,,X,X,X
P01T3A2,Pork,n°1,T3,Normal_dose,70%O2_30%CO2,X,X,X,X,X,x,X,X,X
P01T3A3,Pork,n°1,T3,Normal_dose,50%N2_50%CO2,X,X,X,X,X,x,X,X,X
P01T3B1,Pork,n°1,T3,Half_dose,Air,X,X,,,X,,X,X,
P01T3B2,Pork,n°1,T3,Half_dose,70%O2_30%CO2,X,X,,,X,x,X,X,
P01T3B3,Pork,n°1,T3,Half_dose,50%N2_50%CO2,X,X,,,X,x,X,X,
P01T3C1,Pork,n°1,T3,Zero_dose,Air,X,X,X,,X,,X,X,X
P01T3C2,Pork,n°1,T3,Zero_dose,70%O2_30%CO2,X,X,X,,X,x,X,X,X
P01T3C3,Pork,n°1,T3,Zero_dose,50%N2_50%CO2,X,X,X,,X,x,X,X,X
P02TB,Pork,n°2,Gut,None,None,X,,,,X,,X,X,
P02TD,Pork,n°2,Primal_cut,None,None,X,X,,,X,,X,X,
P02TE,Pork,n°2,Spices,None,None,,X,,,X,,X,X,
P02TG,Pork,n°2,Fat,None,None,,X,,,X,,X,X,
P02T0A,Pork,n°2,T0,Normal_dose,None,,,X,,X,,X,X,X
P02T0B,Pork,n°2,T0,Half_dose,None,,X,,,X,,X,X,
P02T0C,Pork,n°2,T0,Zero_dose,None,,,X,,X,,X,X,
P02T1A1,Pork,n°2,T1,Normal_dose,Air,,X,X,,X,,X,X,X
P02T1A2,Pork,n°2,T1,Normal_dose,70%O2_30%CO2,,X,X,,X,x,X,X,X
P02T1A3,Pork,n°2,T1,Normal_dose,50%N2_50%CO2,,X,X,,X,x,X,X,X
P02T1B1,Pork,n°2,T1,Half_dose,Air,,X,,,X,,X,X,
P02T1B2,Pork,n°2,T1,Half_dose,70%O2_30%CO2,,X,,,X,x,X,X,
P02T1B3,Pork,n°2,T1,Half_dose,50%N2_50%CO2,,X,,,X,x,X,X,
P02T1C1,Pork,n°2,T1,Zero_dose,Air,,X,X,,X,,X,X,X
P02T1C2,Pork,n°2,T1,Zero_dose,70%O2_30%CO2,,X,X,,X,x,X,X,X
P02T1C3,Pork,n°2,T1,Zero_dose,50%N2_50%CO2,,X,X,,X,x,X,X,X
P02T2A1,Pork,n°2,T2,Normal_dose,Air,,X,X,,X,,X,X,X
P02T2A2,Pork,n°2,T2,Normal_dose,70%O2_30%CO2,X,X,X,,X,x,X,X,X
P02T2A3,Pork,n°2,T2,Normal_dose,50%N2_50%CO2,,X,X,,X,x,X,X,X
P02T2B1,Pork,n°2,T2,Half_dose,Air,X,X,,,X,,X,X,
P02T2B2,Pork,n°2,T2,Half_dose,70%O2_30%CO2,X,X,,,X,x,X,X,
P02T2B3,Pork,n°2,T2,Half_dose,50%N2_50%CO2,,X,,,X,x,X,X,
P02T2C1,Pork,n°2,T2,Zero_dose,Air,X,X,X,,X,,X,X,X
P02T2C2,Pork,n°2,T2,Zero_dose,70%O2_30%CO2,X,X,X,,X,x,X,X,X
P02T2C3,Pork,n°2,T2,Zero_dose,50%N2_50%CO2,X,X,X,,X,x,X,X,X
P02T3A1,Pork,n°2,T3,Normal_dose,Air,X,X,X,,X,,X,X,X
P02T3A2,Pork,n°2,T3,Normal_dose,70%O2_30%CO2,X,X,X,,X,x,X,X,X
P02T3A3,Pork,n°2,T3,Normal_dose,50%N2_50%CO2,,X,X,,X,x,X,X,X
P02T3B1,Pork,n°2,T3,Half_dose,Air,X,X,,,X,,X,X,
P02T3B2,Pork,n°2,T3,Half_dose,70%O2_30%CO2,X,X,,,X,x,X,X,
P02T3B3,Pork,n°2,T3,Half_dose,50%N2_50%CO2,X,X,,,X,x,X,X,
P02T3C1,Pork,n°2,T3,Zero_dose,Air,X,X,X,,X,,X,X,X
P02T3C2,Pork,n°2,T3,Zero_dose,70%O2_30%CO2,X,X,X,,X,x,X,X,X
P02T3C3,Pork,n°2,T3,Zero_dose,50%N2_50%CO2,X,X,X,,X,x,X,X,X
P03TB,Pork,n°3,Gut,None,None,X,X,,,X,,X,X,
P03TD,Pork,n°3,Primal_cut,None,None,X,X,,,X,,X,X,
P03TE,Pork,n°3,Spices,None,None,X,X,,,X,,X,X,
P03TG,Pork,n°3,Fat,None,None,X,X,,,X,,X,X,
P03T0A,Pork,n°3,T0,Normal_dose,None,X,X,X,X,X,,X,X,X
P03T0B,Pork,n°3,T0,Half_dose,None,,X,,,X,,X,X,
P03T0C,Pork,n°3,T0,Zero_dose,None,,X,X,,X,,X,X,
P03T1A1,Pork,n°3,T1,Normal_dose,Air,,X,X,X,X,,X,X,X
P03T1A2,Pork,n°3,T1,Normal_dose,70%O2_30%CO2,X,X,X,X,X,x,X,X,X
P03T1A3,Pork,n°3,T1,Normal_dose,50%N2_50%CO2,X,X,X,X,X,x,X,X,X
P03T1B1,Pork,n°3,T1,Half_dose,Air,X,,,,X,,X,X,
P03T1B2,Pork,n°3,T1,Half_dose,70%O2_30%CO2,,X,,,X,x,X,X,
P03T1B3,Pork,n°3,T1,Half_dose,50%N2_50%CO2,,X,,,X,x,X,X,
P03T1C1,Pork,n°3,T1,Zero_dose,Air,,X,X,,X,,X,X,X
P03T1C2,Pork,n°3,T1,Zero_dose,70%O2_30%CO2,X,X,X,,X,x,X,X,X
P03T1C3,Pork,n°3,T1,Zero_dose,50%N2_50%CO2,,,X,,X,x,X,X,X
P03T2A1,Pork,n°3,T2,Normal_dose,Air,X,X,X,X,X,,X,X,X
P03T2A2,Pork,n°3,T2,Normal_dose,70%O2_30%CO2,X,X,X,X,X,x,X,X,X
P03T2A3,Pork,n°3,T2,Normal_dose,50%N2_50%CO2,X,X,X,X,X,x,X,X,X
P03T2B1,Pork,n°3,T2,Half_dose,Air,X,X,,,X,,X,X,
P03T2B2,Pork,n°3,T2,Half_dose,70%O2_30%CO2,X,X,,,X,x,X,X,
P03T2B3,Pork,n°3,T2,Half_dose,50%N2_50%CO2,X,X,,,X,x,X,X,
P03T2C1,Pork,n°3,T2,Zero_dose,Air,X,X,X,,X,,X,X,X
P03T2C2,Pork,n°3,T2,Zero_dose,70%O2_30%CO2,X,X,X,,X,x,X,X,X
P03T2C3,Pork,n°3,T2,Zero_dose,50%N2_50%CO2,X,X,X,,X,x,X,X,X
P03T3A1,Pork,n°3,T3,Normal_dose,Air,X,X,X,X,X,,X,X,X
P03T3A2,Pork,n°3,T3,Normal_dose,70%O2_30%CO2,X,X,X,X,X,x,X,X,X
P03T3A3,Pork,n°3,T3,Normal_dose,50%N2_50%CO2,X,X,X,X,X,x,X,X,X
P03T3B1,Pork,n°3,T3,Half_dose,Air,X,X,,,X,,X,X,
P03T3B2,Pork,n°3,T3,Half_dose,70%O2_30%CO2,X,X,,,X,x,X,X,
P03T3B3,Pork,n°3,T3,Half_dose,50%N2_50%CO2,X,X,,,X,x,X,X,
P03T3C1,Pork,n°3,T3,Zero_dose,Air,,,X,,X,,X,X,X
P03T3C2,Pork,n°3,T3,Zero_dose,70%O2_30%CO2,X,X,X,,X,x,X,X,X
P03T3C3,Pork,n°3,T3,Zero_dose,50%N2_50%CO2,X,X,X,,X,x,X,X,X
P04TB,Pork,n°4,Gut,None,None,X,X,,,X,,X,X,
P04TD,Pork,n°4,Primal_cut,None,None,X,X,,,X,,X,X,
P04TE,Pork,n°4,Spices,None,None,,,,,X,,X,X,
P04TG,Pork,n°4,Fat,None,None,,X,,,X,,X,X,
P04T0A,Pork,n°4,T0,Normal_dose,None,,X,X,X,X,,X,X,X
P04T0B,Pork,n°4,T0,Half_dose,None,,,,,X,,X,X,
P04T0C,Pork,n°4,T0,Zero_dose,None,X,X,X,,X,,X,X,
P04T1A1,Pork,n°4,T1,Normal_dose,Air,,,X,X,X,,X,X,X
P04T1A2,Pork,n°4,T1,Normal_dose,70%O2_30%CO2,,,X,X,X,x,X,X,X
P04T1A3,Pork,n°4,T1,Normal_dose,50%N2_50%CO2,,X,X,X,X,x,X,X,X
P04T1B1,Pork,n°4,T1,Half_dose,Air,,X,,,X,,X,X,
P04T1B2,Pork,n°4,T1,Half_dose,70%O2_30%CO2,,,,,X,x,X,X,
P04T1B3,Pork,n°4,T1,Half_dose,50%N2_50%CO2,,,,,X,x,X,X,
P04T1C1,Pork,n°4,T1,Zero_dose,Air,,,X,,X,,X,X,X
P04T1C2,Pork,n°4,T1,Zero_dose,70%O2_30%CO2,,,X,,X,x,X,X,X
P04T1C3,Pork,n°4,T1,Zero_dose,50%N2_50%CO2,,,X,,X,x,X,X,X
P04T2A1,Pork,n°4,T2,Normal_dose,Air,X,X,X,X,X,,X,X,X
P04T2A2,Pork,n°4,T2,Normal_dose,70%O2_30%CO2,X,X,X,X,X,x,X,X,X
P04T2A3,Pork,n°4,T2,Normal_dose,50%N2_50%CO2,X,X,X,X,X,x,X,X,X
P04T2B1,Pork,n°4,T2,Half_dose,Air,X,X,,,X,,X,X,
P04T2B2,Pork,n°4,T2,Half_dose,70%O2_30%CO2,X,X,,,X,x,X,X,
P04T2B3,Pork,n°4,T2,Half_dose,50%N2_50%CO2,X,X,,,X,x,X,X,
P04T2C1,Pork,n°4,T2,Zero_dose,Air,X,X,X,,X,x,X,X,X
P04T2C2,Pork,n°4,T2,Zero_dose,70%O2_30%CO2,X,X,X,,X,x,X,X,X
P04T2C3,Pork,n°4,T2,Zero_dose,50%N2_50%CO2,X,X,X,,X,x,X,X,X
P04T3A1,Pork,n°4,T3,Normal_dose,Air,X,X,X,X,X,x,X,X,X
P04T3A2,Pork,n°4,T3,Normal_dose,70%O2_30%CO2,X,X,X,X,X,x,X,X,X
P04T3A3,Pork,n°4,T3,Normal_dose,50%N2_50%CO2,X,X,X,X,X,x,X,X,X
P04T3B1,Pork,n°4,T3,Half_dose,Air,X,X,,,X,x,X,X,
P04T3B2,Pork,n°4,T3,Half_dose,70%O2_30%CO2,X,X,,,X,x,X,X,
P04T3B3,Pork,n°4,T3,Half_dose,50%N2_50%CO2,X,X,,,X,x,X,X,
P04T3C1,Pork,n°4,T3,Zero_dose,Air,X,X,X,,X,x,X,X,X
P04T3C2,Pork,n°4,T3,Zero_dose,70%O2_30%CO2,,X,X,,X,x,X,X,X
P04T3C3,Pork,n°4,T3,Zero_dose,50%N2_50%CO2,X,X,X,,X,x,X,X,X
P05TB,Pork,n°5,Gut,None,None,,X,,,X,,X,X,
P05TD,Pork,n°5,Primal_cut,None,None,,X,,,X,,X,X,
P05TE,Pork,n°5,Spices,None,None,,,,,X,,X,X,
P05TG,Pork,n°5,Fat,None,None,,X,,,X,,X,X,
P05T0A,Pork,n°5,T0,Normal_dose,None,,,X,X,X,,X,X,X
P05T0B,Pork,n°5,T0,Half_dose,None,,,,,X,,X,X,
P05T0C,Pork,n°5,T0,Zero_dose,None,,X,X,,X,,X,X,
P05T1A1,Pork,n°5,T1,Normal_dose,Air,,X,X,X,X,,X,X,X
P05T1A2,Pork,n°5,T1,Normal_dose,70%O2_30%CO2,,X,X,X,X,x,X,X,X
P05T1A3,Pork,n°5,T1,Normal_dose,50%N2_50%CO2,X,X,X,X,X,x,X,X,X
P05T1B1,Pork,n°5,T1,Half_dose,Air,X,X,,,X,,X,X,
P05T1B2,Pork,n°5,T1,Half_dose,70%O2_30%CO2,,X,,,X,x,X,X,
P05T1B3,Pork,n°5,T1,Half_dose,50%N2_50%CO2,X,X,,,X,x,X,X,
P05T1C1,Pork,n°5,T1,Zero_dose,Air,X,X,X,,X,,X,X,X
P05T1C2,Pork,n°5,T1,Zero_dose,70%O2_30%CO2,X,X,X,,X,x,X,X,X
P05T1C3,Pork,n°5,T1,Zero_dose,50%N2_50%CO2,,X,X,,X,x,X,X,X
P05T2A1,Pork,n°5,T2,Normal_dose,Air,X,X,X,X,X,,X,X,X
P05T2A2,Pork,n°5,T2,Normal_dose,70%O2_30%CO2,X,X,X,X,X,x,X,X,X
P05T2A3,Pork,n°5,T2,Normal_dose,50%N2_50%CO2,X,X,X,X,X,x,X,X,X
P05T2B1,Pork,n°5,T2,Half_dose,Air,X,X,,,X,,X,X,
P05T2B2,Pork,n°5,T2,Half_dose,70%O2_30%CO2,,X,,,X,x,X,X,
P05T2B3,Pork,n°5,T2,Half_dose,50%N2_50%CO2,X,X,,,X,x,X,X,
P05T2C1,Pork,n°5,T2,Zero_dose,Air,X,X,X,,X,,X,X,X
P05T2C2,Pork,n°5,T2,Zero_dose,70%O2_30%CO2,X,X,X,,X,x,X,X,X
P05T2C3,Pork,n°5,T2,Zero_dose,50%N2_50%CO2,X,X,X,,X,x,X,X,X
P05T3A1,Pork,n°5,T3,Normal_dose,Air,X,X,X,X,X,,X,X,X
P05T3A2,Pork,n°5,T3,Normal_dose,70%O2_30%CO2,X,X,X,X,X,x,X,X,X
P05T3A3,Pork,n°5,T3,Normal_dose,50%N2_50%CO2,,X,X,X,X,x,X,X,X
P05T3B1,Pork,n°5,T3,Half_dose,Air,X,X,,,X,,X,X,
P05T3B2,Pork,n°5,T3,Half_dose,70%O2_30%CO2,X,X,,,X,x,X,X,
P05T3B3,Pork,n°5,T3,Half_dose,50%N2_50%CO2,X,X,,,X,x,X,X,
P05T3C1,Pork,n°5,T3,Zero_dose,Air,X,X,X,,X,,X,X,X
P05T3C2,Pork,n°5,T3,Zero_dose,70%O2_30%CO2,X,X,X,,X,x,X,X,X
P05T3C3,Pork,n°5,T3,Zero_dose,50%N2_50%CO2,X,X,X,,,x,X,X,X
P06TB,Pork,n°6,Gut,None,None,X,X,,,,,X,X,
P06TD,Pork,n°6,Primal_cut,None,None,,X,,,,,X,X,
P06TE,Pork,n°6,Spices,None,None,X,X,,,,,X,X,
P06TG,Pork,n°6,Fat,None,None,,X,,,,,X,X,
P06T0A,Pork,n°6,T0,Normal_dose,None,,X,X,X,X,,X,X,X
P06T0B,Pork,n°6,T0,Half_dose,None,,X,,,X,,X,X,
P06T0C,Pork,n°6,T0,Zero_dose,None,X,X,X,,X,,X,X,
P06T1A1,Pork,n°6,T1,Normal_dose,Air,,X,X,X,X,,X,X,X
P06T1A2,Pork,n°6,T1,Normal_dose,70%O2_30%CO2,X,X,X,X,X,x,X,X,X
P06T1A3,Pork,n°6,T1,Normal_dose,50%N2_50%CO2,X,X,X,X,X,x,X,X,X
P06T1B1,Pork,n°6,T1,Half_dose,Air,X,X,,,X,,X,X,
P06T1B2,Pork,n°6,T1,Half_dose,70%O2_30%CO2,X,X,,,X,x,X,X,
P06T1B3,Pork,n°6,T1,Half_dose,50%N2_50%CO2,X,X,,,X,x,X,X,
P06T1C1,Pork,n°6,T1,Zero_dose,Air,X,X,X,,X,,X,X,X
P06T1C2,Pork,n°6,T1,Zero_dose,70%O2_30%CO2,X,X,X,,X,x,X,X,X
P06T1C3,Pork,n°6,T1,Zero_dose,50%N2_50%CO2,X,X,X,,X,x,X,X,X
P06T2A1,Pork,n°6,T2,Normal_dose,Air,X,X,X,X,X,,X,X,X
P06T2A2,Pork,n°6,T2,Normal_dose,70%O2_30%CO2,X,X,X,X,X,x,X,X,X
P06T2A3,Pork,n°6,T2,Normal_dose,50%N2_50%CO2,X,X,X,X,X,x,X,X,X
P06T2B1,Pork,n°6,T2,Half_dose,Air,,X,,,X,,X,X,
P06T2B2,Pork,n°6,T2,Half_dose,70%O2_30%CO2,,X,,,X,x,X,X,
P06T2B3,Pork,n°6,T2,Half_dose,50%N2_50%CO2,,X,,,X,x,X,X,
P06T2C1,Pork,n°6,T2,Zero_dose,Air,,X,X,,X,,X,X,X
P06T2C2,Pork,n°6,T2,Zero_dose,70%O2_30%CO2,X,X,X,,X,x,X,X,X
P06T2C3,Pork,n°6,T2,Zero_dose,50%N2_50%CO2,,X,X,,X,x,X,X,X
P06T3A1,Pork,n°6,T3,Normal_dose,Air,X,X,X,X,X,,X,X,X
P06T3A2,Pork,n°6,T3,Normal_dose,70%O2_30%CO2,X,X,X,X,X,x,X,X,X
P06T3A3,Pork,n°6,T3,Normal_dose,50%N2_50%CO2,,X,X,X,X,x,X,X,X
P06T3B1,Pork,n°6,T3,Half_dose,Air,,X,,,X,,X,X,
P06T3B2,Pork,n°6,T3,Half_dose,70%O2_30%CO2,X,X,,,X,x,X,X,
P06T3B3,Pork,n°6,T3,Half_dose,50%N2_50%CO2,X,X,,,X,x,X,X,
P06T3C1,Pork,n°6,T3,Zero_dose,Air,X,X,X,,X,,X,X,X
P06T3C2,Pork,n°6,T3,Zero_dose,70%O2_30%CO2,X,X,X,,X,x,X,X,X
P06T3C3,Pork,n°6,T3,Zero_dose,50%N2_50%CO2,,X,X,,X,x,X,X,X
P07TB,Pork,n°7,Gut,None,None,,,,,,,X,X,
P07TD,Pork,n°7,Primal_cut,None,None,,,,,,,X,X,
P07TE,Pork,n°7,Spices,None,None,,,,,,,X,X,
P07TG,Pork,n°7,Fat,None,None,,,,,,,X,X,
P07T0A,Pork,n°7,T0,Normal_dose,None,,,X,X,X,,X,X,X
P07T0B,Pork,n°7,T0,Half_dose,None,,,,,X,,X,X,
P07T0C,Pork,n°7,T0,Zero_dose,None,,,X,,X,,X,X,
P07T1A1,Pork,n°7,T1,Normal_dose,Air,,,X,X,X,,X,X,X
P07T1A2,Pork,n°7,T1,Normal_dose,70%O2_30%CO2,,,X,X,X,x,X,X,X
P07T1A3,Pork,n°7,T1,Normal_dose,50%N2_50%CO2,,,X,X,X,x,X,X,X
P07T1B1,Pork,n°7,T1,Half_dose,Air,,,,,X,,X,X,
P07T1B2,Pork,n°7,T1,Half_dose,70%O2_30%CO2,,,,,X,x,X,X,
P07T1B3,Pork,n°7,T1,Half_dose,50%N2_50%CO2,,,,,X,x,X,X,
P07T1C1,Pork,n°7,T1,Zero_dose,Air,,,X,,X,,X,X,X
P07T1C2,Pork,n°7,T1,Zero_dose,70%O2_30%CO2,,,X,,X,x,X,X,X
P07T1C3,Pork,n°7,T1,Zero_dose,50%N2_50%CO2,,,X,,X,x,X,X,X
P07T2A1,Pork,n°7,T2,Normal_dose,Air,,,X,X,X,,X,X,X
P07T2A2,Pork,n°7,T2,Normal_dose,70%O2_30%CO2,,,X,X,X,x,X,X,X
P07T2A3,Pork,n°7,T2,Normal_dose,50%N2_50%CO2,,,X,X,X,x,X,X,X
P07T2B1,Pork,n°7,T2,Half_dose,Air,,,,,X,,X,X,
P07T2B2,Pork,n°7,T2,Half_dose,70%O2_30%CO2,,,,,X,x,X,X,
P07T2B3,Pork,n°7,T2,Half_dose,50%N2_50%CO2,,,,,X,x,X,X,
P07T2C1,Pork,n°7,T2,Zero_dose,Air,,,X,,X,,X,X,X
P07T2C2,Pork,n°7,T2,Zero_dose,70%O2_30%CO2,,,X,,X,x,X,X,X
P07T2C3,Pork,n°7,T2,Zero_dose,50%N2_50%CO2,,,X,,X,x,X,X,X
P07T3A1,Pork,n°7,T3,Normal_dose,Air,,,X,X,X,,X,X,X
P07T3A2,Pork,n°7,T3,Normal_dose,70%O2_30%CO2,,,X,X,X,x,X,X,X
P07T3A3,Pork,n°7,T3,Normal_dose,50%N2_50%CO2,,,X,X,X,x,X,X,X
P07T3B1,Pork,n°7,T3,Half_dose,Air,,,,,X,,X,X,
P07T3B2,Pork,n°7,T3,Half_dose,70%O2_30%CO2,,,,,X,x,X,X,
P07T3B3,Pork,n°7,T3,Half_dose,50%N2_50%CO2,,,,,X,x,X,X,
P07T3C1,Pork,n°7,T3,Zero_dose,Air,,,X,,X,,X,X,X
P07T3C2,Pork,n°7,T3,Zero_dose,70%O2_30%CO2,,,X,,X,x,X,X,X
P07T3C3,Pork,n°7,T3,Zero_dose,50%N2_50%CO2,,,X,,X,x,X,X,X
P08TB,Pork,n°8,Gut,None,None,X,X,,,X,,X,X,
P08TD,Pork,n°8,Primal_cut,None,None,,X,,,X,,X,X,
P08TE,Pork,n°8,Spices,None,None,X,X,,,X,,X,X,
P08TG,Pork,n°8,Fat,None,None,,X,,,X,,X,X,
P08T0A,Pork,n°8,T0,Normal_dose,None,X,,X,X,X,,X,X,X
P08T0B,Pork,n°8,T0,Half_dose,None,,,,,X,,X,X,
P08T0C,Pork,n°8,T0,Zero_dose,None,,,X,,X,,X,X,
